Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,RTK,Zone,Letter
1665097250.0266562,0,82850,0,GPS1_Frame,42.33828983333333,-71.08651266666668,27.4,328114.65086439106,4689445.655470267,4,19,T
1665097251.0049422,0,82851,0,GPS1_Frame,42.33829000000001,-71.08651266666668,27.4,328114.65131851146,4689445.673977332,4,19,T
1665097252.031633,0,82852,0,GPS1_Frame,42.33829016666667,-71.08651266666668,27.4,328114.6517726319,4689445.692484396,4,19,T
1665097253.0066795,0,82853,0,GPS1_Frame,42.33829033333333,-71.08651283333333,27.4,328114.6384963045,4689445.7113283705,4,19,T
1665097254.0268395,0,82854,0,GPS1_Frame,42.33829049999999,-71.08651233333333,27.4,328114.6801417679,4689445.728824694,4,19,T
1665097255.0029712,0,82855,0,GPS1_Frame,42.33829049999999,-71.08651216666667,27.4,328114.6938722156,4689445.728487781,4,19,T
1665097256.0204453,0,82856,0,GPS1_Frame,42.338291,-71.08651233333333,27.4,328114.68150412885,4689445.784345885,4,19,T
1665097257.0056167,0,82857,0,GPS1_Frame,42.33829133333334,-71.08651166666667,27.4,328114.7373341615,4689445.82001236,4,19,T
1665097258.0285063,0,82858,0,GPS1_Frame,42.33829516666666,-71.08650733333334,27.4,328115.1047705446,4689446.236915086,4,19,T
1665097259.0070126,0,82859,0,GPS1_Frame,42.338300333333336,-71.08650166666666,27.4,328115.58568340226,4689446.799179047,4,19,T
1665097260.0222096,0,82860,0,GPS1_Frame,42.3383055,-71.08649533333333,27.4,328116.1215179599,4689447.360095397,4,19,T
1665097261.0085144,0,82861,0,GPS1_Frame,42.338310666666665,-71.0864885,27.3,328116.6985437629,4689447.920001056,4,19,T
1665097262.0252252,0,82862,0,GPS1_Frame,42.33831583333334,-71.08648183333334,27.3,328117.26183903485,4689448.480243669,4,19,T
1665097263.008545,0,82863,0,GPS1_Frame,42.33832133333333,-71.08647500000001,27.3,328117.8397728838,4689449.077163544,4,19,T
1665097264.0270221,0,82864,0,GPS1_Frame,42.338326499999994,-71.08646866666666,27.3,328118.37560709444,4689449.638080056,4,19,T
1665097265.0032055,0,82865,0,GPS1_Frame,42.33833216666667,-71.08646233333334,27.3,328118.91280354606,4689450.2545178,4,19,T
1665097266.0018985,0,82866,0,GPS1_Frame,42.3383375,-71.0864555,27.3,328119.49028300453,4689450.832930742,4,19,T
1665097267.0039332,0,82867,0,GPS1_Frame,42.33834333333333,-71.08644833333332,27.2,328120.09658556397,4689451.466191112,4,19,T
1665097268.006162,0,82868,0,GPS1_Frame,42.3383485,-71.08644116666666,27.2,328120.70107159024,4689452.025423282,4,19,T
1665097269.0033097,0,82869,0,GPS1_Frame,42.338354166666676,-71.08643433333333,27.1,328121.27945896704,4689452.640850492,4,19,T
1665097270.0037632,0,82870,0,GPS1_Frame,42.338359833333335,-71.086428,27.1,328121.81665494654,4689453.257288443,4,19,T
1665097271.0063918,0,82871,0,GPS1_Frame,42.33836516666667,-71.08642116666667,27.0,328122.3941339252,4689453.835701614,4,19,T
1665097272.0068214,0,82872,0,GPS1_Frame,42.33837083333333,-71.08641433333334,27.0,328122.972521007,4689454.451128954,4,19,T
1665097273.0250454,0,82873,0,GPS1_Frame,42.33837583333334,-71.08640883333334,27.0,328123.4392481644,4689454.9952232605,4,19,T
1665097274.0062973,0,82874,0,GPS1_Frame,42.33838000000001,-71.08640383333334,27.0,328123.8625134781,4689455.447792965,4,19,T
1665097275.0236802,0,82875,0,GPS1_Frame,42.33838366666667,-71.08639933333333,26.9,328124.243225167,4689455.845852186,4,19,T
1665097276.0085487,0,82876,0,GPS1_Frame,42.338387,-71.0863955,26.9,328124.56810691406,4689456.208244878,4,19,T
1665097277.0236876,0,82877,0,GPS1_Frame,42.33839033333334,-71.08639066666666,26.9,328124.97537118726,4689456.568616223,4,19,T
1665097278.008493,0,82878,0,GPS1_Frame,42.33839266666667,-71.08638766666667,26.8,328125.22887617233,4689456.82165103,4,19,T
1665097279.0241938,0,82879,0,GPS1_Frame,42.33839366666666,-71.08638516666666,26.8,328125.43755711685,4689456.927640016,4,19,T
1665097280.0069206,0,82880,0,GPS1_Frame,42.338394333333326,-71.0863845,26.8,328125.4942951906,4689457.000320699,4,19,T
1665097281.0310974,0,82881,0,GPS1_Frame,42.338397500000006,-71.086382,26.8,328125.70887933276,4689457.346901523,4,19,T
1665097282.004068,0,82882,0,GPS1_Frame,42.338401000000005,-71.08637933333333,26.8,328125.9381020649,4689457.730159586,4,19,T
1665097283.0273893,0,82883,0,GPS1_Frame,42.338404499999996,-71.08637483333334,26.8,328126.3183594229,4689458.109711849,4,19,T
1665097284.006999,0,82884,0,GPS1_Frame,42.338407833333335,-71.08637016666667,26.7,328126.711893074,4689458.470420182,4,19,T
1665097285.0152588,0,82885,0,GPS1_Frame,42.33841166666666,-71.0863655,26.7,328127.10678895295,4689458.886649723,4,19,T
1665097286.0055337,0,82886,0,GPS1_Frame,42.33841600000001,-71.08636083333334,26.7,328127.50304705114,4689459.358400482,4,19,T
1665097287.002861,0,82887,0,GPS1_Frame,42.33842033333334,-71.08635550000001,26.7,328127.9542267743,4689459.828803703,4,19,T
1665097288.0067222,0,82888,0,GPS1_Frame,42.33842433333333,-71.08634983333333,26.6,328128.4319591063,4689460.261519053,4,19,T
1665097289.0035143,0,82889,0,GPS1_Frame,42.33842883333333,-71.08634466666668,26.6,328128.8698623782,4689460.750766284,4,19,T
1665097290.018528,0,82890,0,GPS1_Frame,42.338433,-71.08633983333334,26.6,328129.2793965895,4689461.203673184,4,19,T
1665097291.0054982,0,82891,0,GPS1_Frame,42.33843716666667,-71.08633466666667,26.5,328129.71639158,4689461.655906339,4,19,T
1665097292.01577,0,82892,0,GPS1_Frame,42.33844183333334,-71.08632933333334,26.5,328130.1684791751,4689462.163323825,4,19,T
1665097293.0036712,0,82893,0,GPS1_Frame,42.33844633333333,-71.08632366666667,26.5,328130.6475734565,4689462.65156051,4,19,T
1665097294.022835,0,82894,0,GPS1_Frame,42.338451,-71.0863185,26.5,328131.08593050996,4689463.159314935,4,19,T
1665097295.004803,0,82895,0,GPS1_Frame,42.338454166666665,-71.08631366666667,26.4,328131.4927399721,4689463.501179577,4,19,T
1665097296.0282605,0,82896,0,GPS1_Frame,42.338454666666664,-71.08631233333334,26.4,328131.60394550336,4689463.554005717,4,19,T
1665097297.0057912,0,82897,0,GPS1_Frame,42.33845633333333,-71.08631083333333,26.4,328131.7320599895,4689463.736044427,4,19,T
1665097298.025897,0,82898,0,GPS1_Frame,42.338458666666675,-71.086307,26.4,328132.0542165376,4689463.987395067,4,19,T
1665097299.00564,0,82899,0,GPS1_Frame,42.33846116666667,-71.08630383333335,26.4,328132.32190549345,4689464.258600302,4,19,T
1665097300.0223093,0,82900,0,GPS1_Frame,42.33846383333333,-71.08630083333334,26.4,328132.57631809486,4689464.54864949,4,19,T
1665097301.0036724,0,82901,0,GPS1_Frame,42.3384665,-71.086298,26.4,328132.8170002708,4689464.839035566,4,19,T
1665097302.019841,0,82902,0,GPS1_Frame,42.338469,-71.08629649999999,26.4,328132.9473850777,4689465.113609613,4,19,T
1665097303.0056262,0,82903,0,GPS1_Frame,42.33847066666667,-71.08629333333333,26.3,328133.21280358883,4689465.292279563,4,19,T
1665097304.024371,0,82904,0,GPS1_Frame,42.33847316666667,-71.08629116666665,26.3,328133.39811000566,4689465.565506107,4,19,T
1665097305.0055737,0,82905,0,GPS1_Frame,42.3384755,-71.08628766666668,26.3,328133.6928055926,4689465.817530573,4,19,T
1665097306.022697,0,82906,0,GPS1_Frame,42.338478,-71.08628383333333,26.3,328134.0154160481,4689466.087388363,4,19,T
1665097307.0045571,0,82907,0,GPS1_Frame,42.338480499999996,-71.08628083333333,26.3,328134.26937444427,4689466.358930545,4,19,T
1665097308.0274057,0,82908,0,GPS1_Frame,42.338483,-71.08627700000001,26.2,328134.5919848488,4689466.628788359,4,19,T
1665097309.0031714,0,82909,0,GPS1_Frame,42.33848566666667,-71.08627383333334,26.2,328134.8601276828,4689466.918500753,4,19,T
1665097310.0209484,0,82910,0,GPS1_Frame,42.3384885,-71.086271,26.2,328135.1012637517,4689467.227393965,4,19,T
1665097311.0013354,0,82911,0,GPS1_Frame,42.33849166666667,-71.08626766666666,26.2,328135.3844991528,4689467.572290693,4,19,T
1665097312.0215492,0,82912,0,GPS1_Frame,42.33849416666667,-71.08626550000001,26.2,328135.56980542454,4689467.845517291,4,19,T
1665097313.0051842,0,82913,0,GPS1_Frame,42.338495333333334,-71.08626299999999,26.2,328135.77893995354,4689467.970013637,4,19,T
1665097314.032685,0,82914,0,GPS1_Frame,42.33849683333333,-71.08626183333334,26.2,328135.8791393811,4689468.134219099,4,19,T
1665097315.006344,0,82915,0,GPS1_Frame,42.338498166666675,-71.08625950000001,26.1,328136.0749975566,4689468.277559391,4,19,T
1665097316.0332246,0,82916,0,GPS1_Frame,42.3385,-71.0862585,26.1,328136.1623747071,4689468.479115857,4,19,T
1665097317.006979,0,82917,0,GPS1_Frame,42.338501166666674,-71.08625633333332,26.1,328136.34404839936,4689468.604285963,4,19,T
1665097318.0242875,0,82918,0,GPS1_Frame,42.338503499999995,-71.0862545,26.1,328136.5014397424,4689468.859679264,4,19,T
1665097319.0010674,0,82919,0,GPS1_Frame,42.338506333333335,-71.08625116666667,26.1,328136.78376687935,4689469.1675619185,4,19,T
1665097319.9992564,0,82920,0,GPS1_Frame,42.33850783333334,-71.08624783333333,26.1,328137.06246147514,4689469.327388072,4,19,T
1665097321.0210764,0,82921,0,GPS1_Frame,42.33851116666666,-71.08624416666666,26.0,328137.3736115594,4689469.690118197,4,19,T
1665097322.0052996,0,82922,0,GPS1_Frame,42.33851566666667,-71.08623883333333,26.0,328137.8252440416,4689470.179029089,4,19,T
1665097323.0223594,0,82923,0,GPS1_Frame,42.3385205,-71.08623383333334,25.9,328138.25032378844,4689470.705627874,4,19,T
1665097324.0043025,0,82924,0,GPS1_Frame,42.33852466666667,-71.08622916666667,25.9,328138.64612643793,4689471.158872162,4,19,T
1665097325.0223784,0,82925,0,GPS1_Frame,42.33852816666668,-71.08622433333333,25.9,328139.05384319427,4689471.537751349,4,19,T
1665097326.0032823,0,82926,0,GPS1_Frame,42.338531333333336,-71.08621933333333,25.9,328139.47438218456,4689471.879279564,4,19,T
1665097327.0220928,0,82927,0,GPS1_Frame,42.33853483333334,-71.08621433333333,25.8,328139.89582924894,4689472.257821932,4,19,T
1665097328.0030017,0,82928,0,GPS1_Frame,42.338538166666666,-71.0862105,25.8,328140.22070945543,4689472.620215312,4,19,T
1665097329.0261576,0,82929,0,GPS1_Frame,42.33854083333334,-71.08620583333332,25.8,328140.6124253738,4689472.906896132,4,19,T
1665097330.0030367,0,82930,0,GPS1_Frame,42.33854483333333,-71.086201,25.7,328141.0215040856,4689473.341296617,4,19,T
1665097331.0026677,0,82931,0,GPS1_Frame,42.33854916666666,-71.08619733333333,25.7,328141.33537811786,4689473.815069295,4,19,T
1665097332.0004058,0,82932,0,GPS1_Frame,42.33855283333334,-71.08619283333334,25.7,328141.71608785004,4689474.213129419,4,19,T
1665097333.0049214,0,82933,0,GPS1_Frame,42.338553166666664,-71.08618933333334,25.7,328142.00533415563,4689474.243069451,4,19,T
1665097334.0279956,0,82934,0,GPS1_Frame,42.338551333333335,-71.0861865,25.7,328142.2337562267,4689474.033765109,4,19,T
1665097335.0062668,0,82935,0,GPS1_Frame,42.33854800000001,-71.08618183333333,25.7,328142.6091261589,4689473.65419174,4,19,T
1665097336.0270884,0,82936,0,GPS1_Frame,42.33854483333333,-71.0861775,25.8,328142.9574893955,4689473.293799169,4,19,T
