Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,RTK,Zone,Letter
1665100113.0701222,0,85713,0,GPS1_Frame,42.338643000000005,-71.088778,8.3,327928.9899315096,4689489.453758579,5,19,T
1665100114.0674136,0,85714,0,GPS1_Frame,42.33864416666667,-71.08877733333334,8.3,327929.0480353207,4689489.58195893,5,19,T
1665100115.0709596,0,85715,0,GPS1_Frame,42.338645,-71.0887765,8.2,327929.1189602687,4689489.672807865,5,19,T
1665100116.070438,0,85716,0,GPS1_Frame,42.338644666666674,-71.08877550000001,8.1,327929.2004332694,4689489.633770054,5,19,T
1665100117.0722272,0,85717,0,GPS1_Frame,42.338644666666674,-71.08877466666667,8.0,327929.2690851353,4689489.632083657,5,19,T
1665100118.073258,0,85718,0,GPS1_Frame,42.338644499999994,-71.08877349999999,7.9,327929.3647431277,4689489.611215633,5,19,T
1665100119.0704572,0,85719,0,GPS1_Frame,42.33864400000001,-71.08877133333334,7.9,327929.54187412397,4689489.551309807,5,19,T
1665100120.073755,0,85720,0,GPS1_Frame,42.33864333333333,-71.08876883333333,8.0,327929.74601125537,4689489.47222236,5,19,T
1665100121.0735016,0,85721,0,GPS1_Frame,42.33864216666666,-71.08876566666666,8.1,327930.00370604335,4689489.336264607,5,19,T
1665100122.0736017,0,85722,0,GPS1_Frame,42.338640000000005,-71.08876166666667,8.3,327930.32732502185,4689489.087578075,5,19,T
1665100123.0707905,0,85723,0,GPS1_Frame,42.33863899999999,-71.08875800000001,8.6,327930.62666556606,4689488.969115579,5,19,T
1665100124.073979,0,85724,0,GPS1_Frame,42.338638666666675,-71.08875450000001,8.9,327930.91409419355,4689488.925018643,5,19,T
1665100125.0897818,0,85725,0,GPS1_Frame,42.338638499999995,-71.08875133333332,9.4,327931.1745166898,4689488.900103334,5,19,T
1665100126.077927,0,85726,0,GPS1_Frame,42.33863783333333,-71.08874949999999,9.6,327931.3237323592,4689488.822365037,5,19,T
1665100127.0906982,0,85727,0,GPS1_Frame,42.338637,-71.08874766666666,9.6,327931.47249342134,4689488.726119676,5,19,T
1665100128.0773294,0,85728,0,GPS1_Frame,42.338635999999994,-71.0887455,9.6,327931.6482606281,4689488.610692701,5,19,T
1665100129.0909734,0,85729,0,GPS1_Frame,42.33863616666666,-71.08874366666667,9.8,327931.79974935815,4689488.625489751,5,19,T
1665100130.0789015,0,85730,0,GPS1_Frame,42.338637166666665,-71.08874233333333,10.1,327931.9123200088,4689488.733833957,5,19,T
1665100131.0891006,0,85731,0,GPS1_Frame,42.338638499999995,-71.08874133333333,10.3,327931.9983391266,4689488.87986685,5,19,T
